,Ironman,Identity,Align,Eye,Hair,Sex,Alive,Appearances,First Appearance,Year
1588,rex (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,deceased characters,5.0,aug-95,1995.0
1589,vera vidal (earth-616),secret identity,None,green eyes,white hair,female characters,living characters,3.0,nov-07,2007.0
1590,aalbort (earth-616),no dual identity,None,white eyes,white hair,male characters,living characters,1.0,jun-89,1989.0
1591,trikon (earth-616),secret identity,bad characters,None,no hair,male characters,living characters,5.0,nov-71,1971.0
1592,godfrey calthrop (earth-616),secret identity,neutral characters,None,black hair,male characters,living characters,2.0,aug-06,2006.0
1593,se\u00f1or muerte (terrorist) (earth-616),secret identity,bad characters,None,None,male characters,living characters,1.0,jan-90,1990.0
1594,hideko takata (earth-616),public identity,None,None,black hair,female characters,living characters,11.0,mar-86,1986.0
1595,jeffrey holloway (earth-616),public identity,bad characters,grey eyes,blond hair,male characters,living characters,3.0,jul-02,2002.0
1596,jonas mueller (earth-616),None,bad characters,None,grey hair,male characters,living characters,3.0,dec-97,1997.0
1597,jeanne (earth-616),None,None,None,brown hair,female characters,living characters,1.0,apr-63,1963.0
1598,ellie jones (earth-616),public identity,None,None,None,female characters,living characters,1.0,jun-89,1989.0
1599,screamer (spaceknight) (earth-616),None,None,None,None,None,living characters,1.0,dec-81,1981.0
1600,oliver stoker (earth-616),None,None,None,None,male characters,living characters,4.0,sep-97,1997.0
1601,sif (earth-616),no dual identity,good characters,blue eyes,black hair,female characters,living characters,422.0,mar-64,1964.0
1602,chtylok (earth-616),secret identity,neutral characters,red eyes,brown hair,male characters,living characters,6.0,feb-97,1997.0
1603,vera gemini (earth-616),secret identity,bad characters,red eyes,no hair,female characters,living characters,5.0,apr-78,1978.0
1604,mubangi (earth-616),no dual identity,bad characters,None,black hair,male characters,deceased characters,1.0,oct-39,1939.0
1605,bangs (earth-616),secret identity,good characters,None,black hair,female characters,living characters,5.0,aug-10,2010.0
1606,ricky calusky (earth-616),secret identity,bad characters,blue eyes,blond hair,male characters,living characters,7.0,apr-05,2005.0
1607,leslie dean (earth-616),secret identity,bad characters,blue eyes,blond hair,female characters,deceased characters,24.0,jul-03,2003.0
1608,tattoo (obadiah stane agent) (earth-616),secret identity,bad characters,None,None,male characters,deceased characters,1.0,sep-82,1982.0
1609,elias weams (earth-616),None,neutral characters,blue eyes,white hair,male characters,living characters,2.0,may-63,1963.0
1610,kenneth krask (earth-616),public identity,None,None,black hair,male characters,living characters,4.0,dec-94,1994.0
1611,william downing (earth-616),secret identity,bad characters,brown eyes,grey hair,male characters,deceased characters,9.0,nov-10,2010.0
1612,toxin (underground legion) (earth-616),secret identity,good characters,green eyes,no hair,male characters,living characters,3.0,jun-94,1994.0
1613,flexo (earth-616),secret identity,good characters,black eyes,no hair,None,deceased characters,12.0,mar-40,1940.0
1614,curtiss jackson (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,living characters,26.0,jun-79,1979.0
1615,victor stein (earth-616),secret identity,bad characters,None,blond hair,male characters,deceased characters,27.0,jul-03,2003.0
1616,sally (earth-616),None,bad characters,None,None,male characters,living characters,4.0,apr-91,1991.0
1617,mac garrity (earth-616),secret identity,bad characters,yellow eyes,black hair,male characters,deceased characters,7.0,dec-98,1998.0
1618,jacob vandernet (earth-616),public identity,None,None,blond hair,male characters,living characters,1.0,aug-84,1984.0
1619,shuri (earth-616),public identity,good characters,brown eyes,black hair,female characters,living characters,65.0,may-05,2005.0
1620,dennis golembuski (earth-616),secret identity,bad characters,None,white hair,male characters,living characters,5.0,aug-02,2002.0
1621,james darnell (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,living characters,61.0,dec-80,1980.0
1622,elyse nelson (earth-616),None,bad characters,blue eyes,blond hair,female characters,living characters,1.0,apr-88,1988.0
1623,barroas (earth-616),no dual identity,None,None,None,male characters,living characters,4.0,oct-09,2009.0
1624,offer (earth-616),secret identity,bad characters,blue eyes,blond hair,male characters,living characters,9.0,None,None
1625,hepzibah (earth-616),secret identity,good characters,green eyes,white hair,female characters,living characters,112.0,oct-77,1977.0
1626,spunje (earth-616),public identity,good characters,green eyes,black hair,male characters,living characters,8.0,oct-00,2000.0
1627,burt corrigan (earth-616),public identity,good characters,brown eyes,black hair,male characters,living characters,6.0,sep-89,1989.0
1628,caiera (earth-616),no dual identity,good characters,green eyes,black hair,female characters,deceased characters,32.0,apr-06,2006.0
1629,bodb derg (earth-616),secret identity,bad characters,black eyes,black hair,male characters,living characters,6.0,nov-91,1991.0
1630,cyclops (a-chiltarian robot) (earth-616),None,None,None,None,None,deceased characters,1.0,aug-63,1963.0
1631,evolutionary (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,living characters,6.0,jul-11,2011.0
1632,john cereus (earth-616),public identity,bad characters,brown eyes,green hair,male characters,living characters,5.0,sep-90,1990.0
1633,ultimate nullifier (teen brigade) (earth-616),public identity,good characters,blue eyes,white hair,male characters,living characters,6.0,sep-11,2011.0
1634,makoto (the hand) (earth-616),None,bad characters,None,black hair,male characters,living characters,3.0,apr-10,2010.0
1635,88 (earth-616),public identity,bad characters,blue eyes,blond hair,male characters,living characters,3.0,mar-94,1994.0
1636,harpagus (earth-616),public identity,None,black eyes,black hair,male characters,deceased characters,3.0,mar-98,1998.0
1637,sidney otis (earth-616),no dual identity,bad characters,None,bald,male characters,living characters,1.0,jan-47,1947.0
1638,stuart welles (earth-616),secret identity,None,None,blond hair,male characters,living characters,3.0,nov-02,2002.0
1639,barney roberts (earth-616),None,None,None,None,male characters,living characters,5.0,may-72,1972.0
1640,carl brock (earth-616),public identity,neutral characters,green eyes,None,male characters,living characters,4.0,mar-93,1993.0
1641,examiner (earth-616),None,None,None,white hair,male characters,living characters,2.0,nov-01,2001.0
1642,stanley george johnson (earth-616),secret identity,neutral characters,blue eyes,brown hair,male characters,living characters,3.0,oct-84,1984.0
1643,charn (earth-616),None,good characters,None,black hair,male characters,living characters,1.0,feb-79,1979.0
1644,cody robbins (earth-616),public identity,neutral characters,blue eyes,blond hair,male characters,deceased characters,12.0,sep-84,1984.0
1645,gormuu (earth-616),None,bad characters,yellow eyes,no hair,male characters,living characters,6.0,oct-84,1984.0
1646,gorein (earth-616),public identity,None,None,black hair,male characters,living characters,1.0,oct-73,1973.0
1647,vic marcus (earth-616),secret identity,good characters,None,brown hair,male characters,living characters,5.0,dec-05,2005.0
1648,elsie dee (earth-616),no dual identity,good characters,blue eyes,blond hair,female characters,living characters,20.0,mar-91,1991.0
1649,peter bristow (earth-616),None,neutral characters,None,red hair,male characters,living characters,1.0,jun-83,1983.0
1650,bouncing betty (earth-616),secret identity,bad characters,blue eyes,blond hair,female characters,living characters,9.0,nov-09,2009.0
1651,amiko kobayashi (earth-616),no dual identity,good characters,brown eyes,black hair,female characters,living characters,39.0,may-84,1984.0
1652,sorrentino (earth-616),public identity,None,white eyes,black hair,female characters,living characters,8.0,apr-97,1997.0
1653,farley london (earth-616),secret identity,bad characters,None,black hair,male characters,living characters,2.0,jan-71,1971.0
1654,metazoid (earth-616),secret identity,neutral characters,None,None,male characters,deceased characters,1.0,sep-68,1968.0
1655,ms fortune (earth-616),secret identity,bad characters,None,None,female characters,living characters,2.0,apr-00,2000.0
1656,fatale (earth-616),secret identity,bad characters,green eyes,None,female characters,living characters,31.0,apr-93,1993.0
1657,onomi whitemane (earth-616),secret identity,neutral characters,red eyes,white hair,female characters,living characters,15.0,may-10,2010.0
1658,brandy ash (earth-616),public identity,good characters,None,red hair,female characters,living characters,11.0,oct-89,1989.0
1659,jakar (earth-616),None,bad characters,white eyes,black hair,male characters,living characters,6.0,may-72,1972.0
1660,bentley wittman (clone) (earth-616),no dual identity,good characters,brown eyes,brown hair,male characters,living characters,69.0,oct-09,2009.0
1661,brother inquisitor (earth-616),secret identity,neutral characters,None,None,male characters,living characters,4.0,sep-76,1976.0
1662,gorn (demon) (earth-616),secret identity,bad characters,no eyes,no hair,male characters,living characters,6.0,apr-92,1992.0
1663,murdoch adams (earth-616),None,good characters,None,blond hair,male characters,living characters,4.0,may-73,1973.0
1664,kiskillilla (earth-616),secret identity,bad characters,yellow eyes,black hair,female characters,deceased characters,40.0,aug-92,1992.0
1665,dimitri bukharin (earth-616),secret identity,None,brown eyes,bald,male characters,living characters,54.0,apr-78,1978.0
1666,arcadia deville (earth-616),secret identity,good characters,brown eyes,brown hair,female characters,living characters,6.0,nov-98,1998.0
1667,benjamin savannah (earth-616),no dual identity,None,None,white hair,male characters,living characters,4.0,sep-72,1972.0
1668,alecto (red slayer) (earth-616),no dual identity,neutral characters,None,brown hair,male characters,living characters,5.0,jun-71,1971.0
1669,snake lady of sinyong (earth-616),public identity,bad characters,None,black hair,female characters,deceased characters,2.0,oct-54,1954.0
1670,ulana (earth-616),None,None,None,None,female characters,living characters,5.0,None,None
1671,imset (horusian) (earth-616),None,bad characters,None,None,male characters,living characters,1.0,nov-71,1971.0
1672,mike fallon (earth-616),secret identity,bad characters,None,black hair,male characters,living characters,1.0,apr-61,1961.0
1673,diane lamarr (earth-616),public identity,good characters,green eyes,brown hair,female characters,living characters,1.0,mar-82,1982.0
1674,arachne (demon-fire) (earth-616),secret identity,bad characters,None,None,None,deceased characters,1.0,feb-74,1974.0
1675,julius aaroni (earth-616),public identity,bad characters,None,black hair,male characters,living characters,1.0,jun-46,1946.0
1676,doctor kurarkill (earth-616),None,bad characters,None,None,female characters,deceased characters,1.0,oct-75,1975.0
1677,skagg (earth-616),None,bad characters,None,brown hair,male characters,living characters,1.0,may-64,1964.0
1678,peter blake (earth-616),secret identity,bad characters,None,black hair,male characters,living characters,1.0,jan-46,1946.0
1679,pete (earth-616),None,None,None,black hair,male characters,living characters,3.0,sep-64,1964.0
1680,bartholomew harper (earth-616),None,bad characters,None,None,male characters,living characters,1.0,dec-61,1961.0
1681,karlin malus (earth-616),no dual identity,bad characters,brown eyes,black hair,male characters,deceased characters,34.0,sep-80,1980.0
1682,bugman (earth-616),public identity,good characters,blue eyes,black hair,male characters,living characters,4.0,mar-05,2005.0
1683,rekrab (earth-616),public identity,None,None,brown hair,male characters,living characters,4.0,jul-92,1992.0
1684,reginald fortean (earth-616),public identity,bad characters,blue eyes,black hair,male characters,living characters,17.0,may-11,2011.0
1685,robot gamma (earth-616),secret identity,None,None,None,None,deceased characters,2.0,jun-66,1966.0
1686,grottu (earth-616),None,bad characters,black eyes,bald,male characters,living characters,9.0,feb-60,1960.0
1687,hector ayala (earth-616),public identity,good characters,brown eyes,black hair,male characters,deceased characters,54.0,dec-75,1975.0
1688,carl josten (earth-616),None,None,None,brown hair,male characters,deceased characters,5.0,jul-98,1998.0
1689,gilgamesh (earth-616),secret identity,good characters,blue eyes,black hair,male characters,living characters,59.0,jul-77,1977.0
1690,joss kincaid (earth-616),public identity,None,green eyes,blond hair,male characters,living characters,1.0,dec-85,1985.0
1691,daillus (earth-616),public identity,good characters,None,brown hair,male characters,deceased characters,1.0,sep-87,1987.0
1692,amazo (earth-616),None,bad characters,None,black hair,male characters,living characters,1.0,nov-46,1946.0
1693,joyce clayton (earth-616),no dual identity,neutral characters,blue eyes,blond hair,female characters,living characters,1.0,sep-47,1947.0
1694,randy vale (earth-616),secret identity,bad characters,None,black hair,male characters,deceased characters,3.0,apr-79,1979.0
1695,bert hindle (earth-616),no dual identity,None,brown eyes,brown hair,male characters,living characters,1.0,dec-87,1987.0
1696,nigel pigman (earth-616),public identity,bad characters,brown eyes,brown hair,male characters,deceased characters,8.0,jul-77,1977.0
1697,abner (mutant) (earth-616),None,None,black eyes,brown hair,male characters,living characters,1.0,nov-89,1989.0
1698,sylvette lauziere (earth-616),public identity,good characters,None,blond hair,female characters,living characters,3.0,jul-04,2004.0
1699,time-sink (legion personality) (earth-616),secret identity,bad characters,grey eyes,black hair,male characters,living characters,4.0,jul-11,2011.0
1700,marla madison (earth-616),no dual identity,None,brown eyes,brown hair,female characters,deceased characters,129.0,nov-76,1976.0
1701,ma mayhem (earth-616),secret identity,bad characters,None,blond hair,female characters,living characters,2.0,jun-74,1974.0
1702,narcissus (earth-616),public identity,neutral characters,None,brown hair,male characters,living characters,1.0,dec-48,1948.0
1703,henry ackerdson (earth-616),public identity,good characters,brown eyes,black hair,male characters,living characters,9.0,None,None
1704,flaming hate (earth-616),secret identity,bad characters,None,black hair,male characters,deceased characters,1.0,mar-44,1944.0
1705,brutus (earth-616),secret identity,bad characters,None,no hair,male characters,living characters,2.0,jun-91,1991.0
1706,vanessa carlysle (earth-616),secret identity,neutral characters,red eyes,white hair,female characters,living characters,53.0,feb-91,1991.0
1707,diego sandoval (earth-616),public identity,neutral characters,black eyes,brown hair,male characters,living characters,4.0,jul-01,2001.0
1708,brother honcho (earth-616),None,None,None,black hair,male characters,living characters,1.0,apr-78,1978.0
1709,magnus (sorcerer) (earth-616),None,None,brown eyes,brown hair,male characters,living characters,23.0,may-78,1978.0
1710,noriko ashida (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,145.0,jan-04,2004.0
1711,ronga (earth-616),no dual identity,good characters,blue eyes,black hair,male characters,living characters,1.0,jun-80,1980.0
1712,phorcys (earth-616),public identity,bad characters,red eyes,no hair,male characters,living characters,3.0,jan-10,2010.0
1713,bert and ollie (earth-616),no dual identity,bad characters,None,brown hair,male characters,living characters,1.0,aug-46,1946.0
1714,ultron (heroes reborn) (earth-616),public identity,bad characters,red eyes,no hair,male characters,living characters,6.0,nov-96,1996.0
1715,torkon ii (earth-616),None,bad characters,None,None,male characters,living characters,2.0,jul-62,1962.0
1716,cathy webster (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,17.0,sep-94,1994.0
1717,thomas smallwood (earth-616),secret identity,good characters,None,None,male characters,living characters,3.0,sep-83,1983.0
1718,azrael (earth-616),secret identity,bad characters,variable eyes,variable hair,male characters,living characters,7.0,jun-51,1951.0
1719,hector espejo (earth-616),public identity,neutral characters,brown eyes,black hair,male characters,living characters,5.0,feb-06,2006.0
1720,kallark (earth-616),public identity,neutral characters,blue eyes,blue hair,male characters,living characters,160.0,oct-77,1977.0
1721,fuel (earth-616),secret identity,neutral characters,grey eyes,black hair,male characters,deceased characters,7.0,None,None
1722,ditto (earth-616),secret identity,good characters,None,black hair,male characters,living characters,16.0,jun-04,2004.0
1723,christopher bradley (earth-616),secret identity,good characters,blue eyes,brown hair,male characters,deceased characters,44.0,oct-95,1995.0
1724,cheryl lansing (earth-616),None,None,brown eyes,blond hair,female characters,living characters,6.0,nov-99,1999.0
1725,leonard kryzewski (earth-616),public identity,bad characters,blue eyes,blond hair,male characters,living characters,2.0,nov-91,1991.0
1726,daggaerdh (earth-616),None,bad characters,None,None,female characters,deceased characters,5.0,may-13,2013.0
1727,craig simpson (earth-616),public identity,None,None,grey hair,male characters,deceased characters,28.0,aug-72,1972.0
1728,ellen brandt (earth-616),no dual identity,neutral characters,None,brown hair,female characters,living characters,17.0,may-71,1971.0
1729,jacob grimm (earth-616),None,good characters,None,blond hair,male characters,living characters,5.0,jan-82,1982.0
1730,ikor (watcher) (earth-616),None,neutral characters,None,white hair,male characters,living characters,5.0,may-64,1964.0
1731,phillip carlisle (earth-616),public identity,good characters,None,black hair,male characters,living characters,13.0,jan-84,1984.0
1732,phillip sterling (earth-616),secret identity,bad characters,blue eyes,grey hair,male characters,deceased characters,32.0,apr-68,1968.0
1733,alistaire smythe (earth-616),public identity,bad characters,brown eyes,brown hair,male characters,deceased characters,33.0,None,None
1734,things on easter island (earth-616),secret identity,bad characters,None,None,None,living characters,1.0,oct-73,1973.0
1735,balu (earth-616),no dual identity,good characters,None,None,male characters,living characters,4.0,feb-40,1940.0
1736,doctor lin (earth-616),public identity,good characters,None,white hair,male characters,deceased characters,2.0,mar-41,1941.0
1737,desidera (earth-616),no dual identity,good characters,black eyes,blond hair,female characters,living characters,3.0,apr-07,2007.0
1738,scatterbrain (falcon enemy) (earth-616),secret identity,bad characters,None,black hair,male characters,living characters,1.0,may-88,1988.0
1739,stephen weems (earth-616),secret identity,bad characters,None,blond hair,male characters,living characters,2.0,apr-77,1977.0
1740,vincent destine (earth-616),None,bad characters,None,None,male characters,deceased characters,5.0,nov-94,1994.0
1741,collier mack (earth-616),None,neutral characters,None,black hair,male characters,living characters,2.0,may-92,1992.0
1742,albakor (earth-616),None,good characters,yellow eyes,no hair,female characters,living characters,3.0,jun-09,2009.0
1743,levan (earth-616),None,bad characters,None,None,male characters,living characters,6.0,may-85,1985.0
1744,hl\u00f6kk (earth-616),secret identity,bad characters,None,None,female characters,living characters,10.0,sep-10,2010.0
1745,pete johnson (earth-616),no dual identity,good characters,None,brown hair,male characters,living characters,4.0,dec-39,1939.0
1746,romulus augustulus (earth-616),secret identity,bad characters,brown eyes,blond hair,male characters,living characters,66.0,jan-63,1963.0
1747,julia cabot (earth-616),secret identity,good characters,brown eyes,brown hair,female characters,deceased characters,6.0,mar-04,2004.0
1748,kurt weidner (earth-616),public identity,bad characters,None,blond hair,male characters,living characters,1.0,sep-42,1942.0
1749,jukka (earth-616),no dual identity,good characters,None,None,male characters,living characters,5.0,dec-73,1973.0
1750,morton thurnton (earth-616),public identity,bad characters,None,grey hair,male characters,deceased characters,2.0,oct-92,1992.0
1751,numacet (earth-616),None,good characters,None,None,female characters,living characters,2.0,aug-90,1990.0
1752,donna strange (earth-616),public identity,neutral characters,None,brown hair,female characters,living characters,3.0,nov-89,1989.0
1753,andrew prentiss (earth-616),secret identity,good characters,blue eyes,brown hair,male characters,living characters,3.0,feb-93,1993.0
1754,flaidermaus (earth-616),None,None,red eyes,orange hair,male characters,living characters,2.0,dec-72,1972.0
1755,victoria murdock (earth-616),secret identity,bad characters,brown eyes,blond hair,female characters,deceased characters,10.0,jun-47,1947.0
1756,kometes (earth-616),None,neutral characters,None,None,male characters,deceased characters,2.0,jul-74,1974.0
1757,isabel ferguson (earth-616),secret identity,good characters,blue eyes,black hair,female characters,living characters,5.0,sep-97,1997.0
1758,kimura (earth-616),public identity,None,green eyes,black hair,female characters,living characters,18.0,dec-06,2006.0
1759,karkas (earth-616),secret identity,good characters,black eyes,no hair,male characters,living characters,38.0,feb-77,1977.0
1760,omega black (earth-616),secret identity,bad characters,brown eyes,black hair,female characters,living characters,7.0,jul-12,2012.0
1761,chief authier (earth-616),None,None,None,None,male characters,living characters,5.0,dec-97,1997.0
1762,eric gitter (earth-616),secret identity,good characters,blue eyes,bald,male characters,living characters,17.0,jun-08,2008.0
1763,killer shrike (hobgoblin) (earth-616),secret identity,bad characters,None,None,male characters,living characters,3.0,None,None
1764,douglas van horn (earth-616),secret identity,bad characters,None,black hair,male characters,living characters,1.0,mar-45,1945.0
1765,harvester (earth-616),secret identity,bad characters,variable eyes,no hair,male characters,living characters,2.0,may-01,2001.0
1766,christian poulsen (earth-616),None,bad characters,None,black hair,male characters,deceased characters,9.0,oct-11,2011.0
1767,broadside (crimson pirates) (earth-616),secret identity,bad characters,None,None,male characters,living characters,4.0,sep-00,2000.0
1768,albert bendix (earth-616),None,None,brown eyes,black hair,male characters,deceased characters,4.0,oct-00,2000.0
1769,thomas halloway (earth-616),public identity,good characters,brown eyes,white hair,male characters,living characters,135.0,oct-39,1939.0
1770,paul same (earth-616),None,good characters,None,brown hair,male characters,living characters,14.0,jul-76,1976.0
1771,michael baer (earth-616),secret identity,bad characters,brown eyes,bald,male characters,living characters,29.0,nov-86,1986.0
1772,super slave (earth-616),secret identity,good characters,None,None,male characters,living characters,1.0,mar-41,1941.0
1773,sabretooth (victor creed),secret identity,bad characters,amber eyes,blond hair,male characters,living characters,382.0,aug-77,1977.0
1774,doctor stack (earth-616),no dual identity,bad characters,brown eyes,brown hair,male characters,deceased characters,3.0,aug-88,1988.0
1775,spyne (earth-616),None,bad characters,white eyes,bald,male characters,deceased characters,13.0,nov-94,1994.0
1776,r7 (earth-616),None,bad characters,None,None,None,deceased characters,1.0,aug-69,1969.0
1777,dianna ferrule (earth-616),public identity,good characters,None,blond hair,female characters,living characters,2.0,apr-43,1943.0
1778,broo (earth-616),secret identity,good characters,None,no hair,male characters,living characters,71.0,sep-11,2011.0
1779,ren\u00e9 duquesne (earth-616),secret identity,good characters,None,None,male characters,living characters,4.0,jul-76,1976.0
1780,viktor smerdilovisc (earth-616),None,bad characters,None,None,male characters,living characters,2.0,may-01,2001.0
1781,eelar (earth-616),secret identity,neutral characters,red eyes,no hair,None,living characters,1.0,jul-75,1975.0
1782,sidney onselm (earth-616),secret identity,bad characters,None,bald,male characters,living characters,1.0,jun-47,1947.0
1783,ted banning (earth-616),no dual identity,good characters,None,brown hair,male characters,living characters,6.0,sep-46,1946.0
1784,cyra (asgardian) (earth-616),public identity,good characters,None,black hair,female characters,living characters,5.0,jul-01,2001.0
1785,kull (earth-616),public identity,good characters,grey eyes,black hair,male characters,living characters,84.0,oct-70,1970.0
1786,greasy (earth-616),None,bad characters,None,None,male characters,living characters,2.0,jul-98,1998.0
1787,janice caccone (earth-616),public identity,neutral characters,None,None,female characters,deceased characters,3.0,nov-74,1974.0
1788,myron delasco (earth-616),secret identity,bad characters,None,brown hair,male characters,deceased characters,1.0,apr-46,1946.0
1789,grungnir (earth-616),None,bad characters,None,None,male characters,living characters,1.0,jan-86,1986.0
1790,al-thahab al-aswad (earth-616),public identity,good characters,black eyes,black hair,male characters,deceased characters,3.0,None,None
1791,roy james (earth-616),no dual identity,bad characters,None,black hair,male characters,living characters,1.0,mar-47,1947.0
1792,sheoke sanada (earth-616),secret identity,bad characters,brown eyes,black hair,female characters,living characters,25.0,jan-84,1984.0
1793,victor infante (earth-616),None,neutral characters,None,None,male characters,living characters,5.0,aug-02,2002.0
1794,concussion (earth-616),secret identity,good characters,None,black hair,male characters,living characters,2.0,oct-86,1986.0
1795,seth (earth-616),no dual identity,bad characters,brown eyes,red hair,male characters,living characters,53.0,oct-75,1975.0
1796,lady lotus (earth-616),secret identity,bad characters,brown eyes,black hair,female characters,living characters,8.0,feb-79,1979.0
1797,professor tang (earth-616),public identity,bad characters,None,white hair,male characters,deceased characters,1.0,may-43,1943.0
1798,draconis (earth-616),secret identity,bad characters,yellow eyes,black hair,male characters,living characters,3.0,may-07,2007.0
1799,wilbur garvin (earth-616),public identity,good characters,None,bald,male characters,living characters,6.0,jun-80,1980.0
1800,sandman (alien) (earth-616),secret identity,bad characters,None,None,male characters,living characters,2.0,jul-61,1961.0
1801,stegor (earth-616),secret identity,good characters,blue eyes,white hair,male characters,living characters,1.0,aug-73,1973.0
1802,avios (earth-616),no dual identity,good characters,white eyes,None,male characters,living characters,3.0,oct-00,2000.0
1803,guy de montfort (earth-616),public identity,bad characters,None,black hair,male characters,living characters,1.0,sep-55,1955.0
1804,psimon (earth-616),secret identity,good characters,None,bald,male characters,living characters,8.0,oct-99,1999.0
1805,joe (cameraman) (earth-616),public identity,None,None,red hair,male characters,living characters,4.0,feb-65,1965.0
1806,clown (franklin) (earth-616),secret identity,bad characters,None,None,male characters,living characters,8.0,aug-09,2009.0
1807,hector ridondo (earth-616),secret identity,good characters,black eyes,black hair,male characters,deceased characters,9.0,may-00,2000.0
1808,once-upon-a-time (earth-616),secret identity,good characters,None,white hair,male characters,living characters,1.0,jul-43,1943.0
1809,stalax (earth-616),None,good characters,None,None,male characters,living characters,11.0,may-83,1983.0
1810,daniel davis (earth-616),secret identity,bad characters,None,None,male characters,living characters,3.0,sep-93,1993.0
1811,headstone p. gravely (earth-616),None,neutral characters,None,None,male characters,living characters,11.0,oct-69,1969.0
1812,limpy savoy (earth-616),public identity,bad characters,None,black hair,male characters,deceased characters,1.0,nov-40,1940.0
1813,aaron english (earth-616),public identity,good characters,None,strawberry blond hair,male characters,living characters,18.0,sep-77,1977.0
1814,tony sloan (earth-616),no dual identity,bad characters,None,white hair,male characters,living characters,1.0,mar-46,1946.0
1815,jonathan garrett (earth-616),secret identity,neutral characters,brown eyes,brown hair,male characters,living characters,31.0,sep-86,1986.0
1816,jonathan somers (earth-616),None,None,None,black hair,male characters,deceased characters,2.0,may-00,2000.0
1817,daniel jones (torpedo) (earth-616),None,good characters,None,blond hair,male characters,living characters,14.0,dec-77,1977.0
1818,heindrich von wilhelm innsbruck (earth-616),secret identity,bad characters,None,white hair,male characters,living characters,1.0,may-74,1974.0
1819,lazarus (earth-616),secret identity,bad characters,None,white hair,male characters,living characters,4.0,jan-75,1975.0
1820,colonel schutter (earth-616),public identity,bad characters,None,bald,male characters,deceased characters,1.0,dec-42,1942.0
1821,gummi (earth-616),public identity,good characters,green eyes,black hair,female characters,living characters,3.0,jul-97,1997.0
1822,phay (earth-616),None,bad characters,None,None,male characters,living characters,4.0,jun-89,1989.0
1823,hulk (robert bruce banner),public identity,good characters,brown eyes,brown hair,male characters,living characters,2017.0,may-62,1962.0
1824,henrietta hunter (earth-616),public identity,good characters,None,black hair,female characters,living characters,6.0,oct-03,2003.0
1825,lilandra neramani (earth-616),no dual identity,good characters,orange eyes,black hair,female characters,deceased characters,170.0,feb-76,1976.0
1826,judith klemmer (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,3.0,aug-75,1975.0
1827,marduk (sons of satannish) (earth-616),secret identity,bad characters,None,black hair,male characters,living characters,5.0,dec-68,1968.0
1828,sugar kane (earth-616),public identity,good characters,None,blond hair,female characters,living characters,6.0,aug-01,2001.0
1829,katerina van horn (earth-616),public identity,None,blue eyes,red hair,female characters,living characters,42.0,apr-73,1973.0
1830,symbol of doom (earth-616),secret identity,bad characters,None,black hair,male characters,deceased characters,1.0,dec-43,1943.0
1831,sergei yesenofsky (earth-616),None,bad characters,None,None,male characters,living characters,3.0,jun-97,1997.0
1832,kaminari (goddess) (earth-616),None,good characters,None,white hair,female characters,living characters,2.0,jul-06,2006.0
1833,lance johnson (earth-616),public identity,neutral characters,None,brown hair,male characters,living characters,1.0,dec-41,1941.0
1834,william hao (earth-616),None,bad characters,None,None,male characters,living characters,8.0,oct-76,1976.0
1835,joseph hogan (earth-616),public identity,neutral characters,blue eyes,bald,male characters,living characters,33.0,aug-62,1962.0
1836,paingloss (earth-616),secret identity,good characters,None,None,male characters,living characters,1.0,jul-75,1975.0
1837,astrid mordo (earth-616),None,bad characters,brown eyes,black hair,female characters,living characters,4.0,feb-96,1996.0
1838,samuel (down acres) (earth-616),no dual identity,neutral characters,white eyes,None,male characters,living characters,2.0,None,None
1839,jeffrey haight (earth-616),public identity,neutral characters,black eyes,black hair,male characters,living characters,6.0,None,None
1840,baron samedi (aim) (earth-616),None,bad characters,None,white hair,male characters,living characters,3.0,dec-73,1973.0
1841,neptunus (earth-616),secret identity,None,None,None,male characters,living characters,2.0,sep-80,1980.0
1842,myra haddock (earth-616),secret identity,neutral characters,blue eyes,black hair,female characters,living characters,6.0,nov-97,1997.0
1843,unam (earth-616),secret identity,good characters,None,None,male characters,deceased characters,7.0,oct-83,1983.0
1844,living buddha (earth-616),secret identity,bad characters,green eyes,black hair,male characters,deceased characters,2.0,jul-73,1973.0
1845,anthony zerbe (earth-616),None,bad characters,None,blond hair,male characters,living characters,4.0,dec-87,1987.0
1846,doctor narr (earth-616),None,bad characters,None,white hair,male characters,deceased characters,1.0,jun-40,1940.0
1847,sharkskin (earth-616),secret identity,neutral characters,None,black hair,male characters,living characters,3.0,oct-89,1989.0
1848,max eisenhardt (earth-616),public identity,neutral characters,grey eyes,bald,male characters,living characters,709.0,sep-63,1963.0
1849,thrunhild (earth-616),None,None,None,None,female characters,living characters,1.0,dec-84,1984.0
1850,cut (wendy) (earth-616),secret identity,bad characters,None,None,female characters,living characters,5.0,jan-08,2008.0
1851,yussuf hussain (earth-616),no dual identity,good characters,brown eyes,black hair,male characters,living characters,5.0,nov-08,2008.0
1852,harold schmidt (earth-616),public identity,good characters,None,white hair,male characters,living characters,1.0,sep-40,1940.0
